    TIME_START     ,    TIME_END    ,    IMAGES     
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0253.JPG
00:00:03:500,00:00:03:600
,,DJI_0058.JPG
,,DJI_0091.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0253.JPG
00:00:03:600,00:00:03:700
,,DJI_0058.JPG
,,DJI_0091.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
00:00:03:700,00:00:03:800
,,DJI_0058.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
00:00:03:800,00:00:03:900
,,DJI_0058.JPG
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
00:00:03:900,00:00:04:000
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
00:00:04:000,00:00:04:100
,,DJI_0092.JPG
,,DJI_0093.JPG
,,DJI_0094.JPG
,,DJI_0107.JPG
,,DJI_0108.JPG
,,DJI_0109.JPG
,,DJI_0110.JPG
,,DJI_0144.JPG
,,DJI_0145.JPG
,,DJI_0146.JPG
,,DJI_0147.JPG
,,DJI_0160.JPG
,,DJI_0161.JPG
,,DJI_0162.JPG
,,DJI_0163.JPG
,,DJI_0198.JPG
,,DJI_0199.JPG
,,DJI_0200.JPG
,,DJI_0213.JPG
,,DJI_0214.JPG
,,DJI_0215.JPG
,,DJI_0252.JPG
,,DJI_0253.JPG
,,DJI_0254.JPG
00:00:04:100,00:00:04:200
,,DJI_0092.JPG
,,DJI_0093.JPG
